,densidad de potencia,coordenadas,Longitude,Latitude,value
0,0.888,"-57.55481337167282,-37.99694480093896,19.00163838471364",-57.55481337167282,-37.99694480093896,19.00163838471364
1,0.056,"-57.55700689734361,-37.99399419381523,23.9044213171473",-57.55700689734361,-37.99399419381523,23.9044213171473
2,0.073,"-57.55790347209223,-37.99378768787859,27.65828943031035",-57.55790347209223,-37.99378768787859,27.65828943031035
3,0.625,"-57.55903709766066,-37.9932489316092,15.2579968466294",-57.55903709766066,-37.9932489316092,15.2579968466294
4,3.304,"-57.55993957128396,-37.99278864888912,15.88786045406154",-57.55993957128396,-37.99278864888912,15.88786045406154
5,1.658,"-57.56074531309216,-37.99252311869235,16.10257002905682",-57.56074531309216,-37.99252311869235,16.10257002905682
6,1.658,"-57.56200211188599,-37.99182477175725,16.73120211041397",-57.56200211188599,-37.99182477175725,16.73120211041397
7,1.744,"-57.56339349887798,-37.9934348964176,17.11010708672706",-57.56339349887798,-37.9934348964176,17.11010708672706
8,0.186,"-57.5626898788887,-37.99260479250206,16.81022143774942",-57.5626898788887,-37.99260479250206,16.81022143774942
9,0.312,"-57.56168048424885,-37.99310223826389,16.5199125305461",-57.56168048424885,-37.99310223826389,16.5199125305461
10,0.178,"-57.5623175664556,-37.99379875456255,16.47880167408681",-57.5623175664556,-37.99379875456255,16.47880167408681
11,0.05,"-57.56168187602398,-37.99429196211845,15.76351403613208",-57.56168187602398,-37.99429196211845,15.76351403613208
12,0.177,"-57.5610484245956,-37.99347980383017,16.43467966428801",-57.5610484245956,-37.99347980383017,16.43467966428801
13,0.088,"-57.55967286189987,-37.99410682366245,14.83903352268004",-57.55967286189987,-37.99410682366245,14.83903352268004
14,0.131,"-57.56036239679092,-37.9947734808926,15.39458441111286",-57.56036239679092,-37.9947734808926,15.39458441111286
15,0.093,"-57.55924720349006,-37.9953630827506,15.1949280734268",-57.55924720349006,-37.9953630827506,15.1949280734268
16,0.286,"-57.5586887685886,-37.99461992705135,14.66366451692238",-57.5586887685886,-37.99461992705135,14.66366451692238
17,0.108,"-57.55829192994723,-37.9958530923712,27.31622032823119",-57.55829192994723,-37.9958530923712,27.31622032823119
18,0.108,"-57.55743254794617,-37.99644066743104,14.64426460069797",-57.55743254794617,-37.99644066743104,14.64426460069797
19,0.132,"-57.55639720343932,-37.99691503441767,14.40472949345506",-57.55639720343932,-37.99691503441767,14.40472949345506
20,0.288,"-57.55542746831504,-37.99737570469661,14.01590126190214",-57.55542746831504,-37.99737570469661,14.01590126190214
21,0.352,"-57.5543394069164,-37.9978460313251,13.40651403364703",-57.5543394069164,-37.9978460313251,13.40651403364703
22,4.379,"-57.55378477747757,-37.99718309957338,13.09713056094633",-57.55378477747757,-37.99718309957338,13.09713056094633
23,0.308,"-57.5577429816593,-37.9950651495106,14.33479733527922",-57.5577429816593,-37.9950651495106,14.33479733527922
24,0.415,"-57.55307984367128,-37.99629214665541,14.02061837159046",-57.55307984367128,-37.99629214665541,14.02061837159046
25,0.204,"-57.55406562417352,-37.99592203146301,14.02034755708333",-57.55406562417352,-37.99592203146301,14.02034755708333
26,0.212,"-57.55474220271712,-37.99643577742972,12.70310129926795",-57.55474220271712,-37.99643577742972,12.70310129926795
27,1.187,"-57.55563532099427,-37.99616781277216,26.86691907787819",-57.55563532099427,-37.99616781277216,26.86691907787819
28,0.231,"-57.55501605497097,-37.99527396545945,25.71022104440418",-57.55501605497097,-37.99527396545945,25.71022104440418
29,0.268,"-57.55613003321064,-37.99475690702985,15.25667055346304",-57.55613003321064,-37.99475690702985,15.25667055346304
30,0.122,"-57.55657397459695,-37.99552769912664,14.68688544680253",-57.55657397459695,-37.99552769912664,14.68688544680253
31,1.245,"-57.5579869834439,-38.00069131801591,13.5670973351956",-57.5579869834439,-38.00069131801591,13.5670973351956
32,0.166,"-57.55863376924273,-38.00148893574439,13.40658075086898",-57.55863376924273,-38.00148893574439,13.40658075086898
33,0.166,"-57.55970833758328,-38.00101608543231,13.97363916691439",-57.55970833758328,-38.00101608543231,13.97363916691439
34,2.926,"-57.55330956769468,-37.98805961659203,14.24642957250582",-57.55330956769468,-37.98805961659203,14.24642957250582
35,0.018,"-57.55249845216274,-37.98852070499818,15.36537339947179",-57.55249845216274,-37.98852070499818,15.36537339947179
36,0.143,"-57.55142171796881,-37.98898017784188,15.59921273189926",-57.55142171796881,-37.98898017784188,15.59921273189926
37,0.053,"-57.55037473395277,-37.98943993425689,15.97579170189508",-57.55037473395277,-37.98943993425689,15.97579170189508
38,0.04,"-57.54982118471872,-37.98878670242112,15.26319615886677",-57.54982118471872,-37.98878670242112,15.26319615886677
39,0.064,"-57.55074395897567,-37.98833574222245,15.76011669645054",-57.55074395897567,-37.98833574222245,15.76011669645054
40,0.071,"-57.5518301588957,-37.98784103196012,16.81019591585218",-57.5518301588957,-37.98784103196012,16.81019591585218
41,0.005,"-57.55115079529183,-37.98698692505418,16.03484713161939",-57.55115079529183,-37.98698692505418,16.03484713161939
42,0.045,"-57.55006196315857,-37.98742311464111,14.5261586286622",-57.55006196315857,-37.98742311464111,14.5261586286622
43,0.064,"-57.54917456977867,-37.98787649814454,15.16268123062259",-57.54917456977867,-37.98787649814454,15.16268123062259
44,0.057,"-57.55112602531709,-37.99044118631181,13.81703475194607",-57.55112602531709,-37.99044118631181,13.81703475194607
45,0.114,"-57.5517561134429,-37.99120852665859,16.05363751622231",-57.5517561134429,-37.99120852665859,16.05363751622231
46,0.116,"-57.55280794535697,-37.99075527685208,14.03727287462713",-57.55280794535697,-37.99075527685208,14.03727287462713
47,0.087,"-57.55213739438081,-37.98992451121467,13.46630051326987",-57.55213739438081,-37.98992451121467,13.46630051326987
48,0.212,"-57.5531135509232,-37.98943834875683,11.56938912541891",-57.5531135509232,-37.98943834875683,11.56938912541891
49,1.709,"-57.55379988972438,-37.99028272047524,13.60894483141681",-57.55379988972438,-37.99028272047524,13.60894483141681
50,2.449,"-57.55475663444916,-37.98978357367122,15.04707199720525",-57.55475663444916,-37.98978357367122,15.04707199720525
51,0.31,"-57.55417474353431,-37.98892891362573,14.82143160506753",-57.55417474353431,-37.98892891362573,14.82143160506753
52,0.113,"-57.55516001579113,-37.9884875940151,12.58207615950652",-57.55516001579113,-37.9884875940151,12.58207615950652
53,0.319,"-57.55580028323324,-37.9891999578992,12.38695464701208",-57.55580028323324,-37.9891999578992,12.38695464701208
54,0.271,"-57.55442903834376,-37.98753941812837,14.70147129533803",-57.55442903834376,-37.98753941812837,14.70147129533803
55,0.071,"-57.55378719504697,-37.98671328191202,16.5997721105131",-57.55378719504697,-37.98671328191202,16.5997721105131
56,0.245,"-57.55317772471847,-37.98597902763986,14.31791768410113",-57.55317772471847,-37.98597902763986,14.31791768410113
57,0.009,"-57.55213102021175,-37.98646248177536,15.91384163781315",-57.55213102021175,-37.98646248177536,15.91384163781315
58,0.133,"-57.55269706541583,-37.9872493000217,15.20969894544957",-57.55269706541583,-37.9872493000217,15.20969894544957
59,1000.0,"-57.15321860679283,-37.98717757506577,-32.95735446329402",-57.15321860679283,-37.98717757506577,-32.95735446329402
60,0.102,"-57.55741885142366,-38.00210023345153,13.68565423656944",-57.55741885142366,-38.00210023345153,13.68565423656944
61,0.271,"-57.55682806643532,-38.00132852042938,13.58767626790154",-57.55682806643532,-38.00132852042938,13.58767626790154
62,0.241,"-57.5561872660173,-38.0005390821569,14.48206616144018",-57.5561872660173,-38.0005390821569,14.48206616144018
63,0.105,"-57.5554300340413,-37.9996594223461,16.43680007778025",-57.5554300340413,-37.9996594223461,16.43680007778025
64,0.199,"-57.55474497792876,-37.99880867427677,15.57374395606955",-57.55474497792876,-37.99880867427677,15.57374395606955
65,1.206,"-57.55231490248575,-37.99569106118966,17.65708763114636",-57.55231490248575,-37.99569106118966,17.65708763114636
66,0.596,"-57.55357684410362,-37.99515595460863,17.0699818604185",-57.55357684410362,-37.99515595460863,17.0699818604185
67,0.33,"-57.55446362057794,-37.994574638759,14.71771004962866",-57.55446362057794,-37.994574638759,14.71771004962866
68,0.229,"-57.55551310955828,-37.99407059852404,12.47819099115926",-57.55551310955828,-37.99407059852404,12.47819099115926
